outgoing_flight_number,origin_airport,destination_airport,layover_airport,duration,price
6X1563,JFK,CDG,6X1563,4H,226.85
6X1563,JFK,CDG,6X1563,4H,208.31
6X1563,JFK,CDG,6X1563,4H,219.83
6X1563,JFK,CDG,6X1563,4H,211.46
6X1563,JFK,CDG,6X1563,4H,227.00
6X1563,JFK,CDG,6X1563,4H,200.76
6X1563,JFK,CDG,6X1563,4H,215.58
6X1563,JFK,CDG,6X1563,4H,213.73
6X1563,JFK,CDG,6X1563,4H,205.34
6X1563,JFK,CDG,6X1563,4H,205.92
6X1563,JFK,CDG,6X1563,4H,198.20
6X1563,JFK,CDG,6X1563,4H,208.38
6X1563,JFK,CDG,6X1563,4H,213.30
6X1563,JFK,CDG,6X1563,4H,203.48
6X1563,JFK,CDG,6X1563,4H,202.89
6X1563,JFK,CDG,6X1563,4H,224.29
6X1563,JFK,CDG,6X1563,4H,202.97
6X1563,JFK,CDG,6X1563,4H,227.42
6X1563,JFK,CDG,6X1563,4H,209.42
6X1563,JFK,CDG,6X1563,4H,222.29
6X1563,JFK,CDG,6X1563,4H,206.33
6X1563,JFK,CDG,6X1563,4H,217.80
6X1563,JFK,CDG,6X1563,4H,204.46
6X1563,JFK,CDG,6X1563,4H,205.74
6X1563,JFK,CDG,6X1563,4H,198.23
6X1563,JFK,CDG,6X1563,4H,215.11
6X1563,JFK,CDG,6X1563,4H,203.87
6X1563,JFK,CDG,6X1563,4H,226.43
6X1563,JFK,CDG,6X1563,4H,207.45
6X1563,JFK,CDG,6X1563,4H,215.07
6X1563,JFK,CDG,6X1563,4H,200.88
6X1563,JFK,CDG,6X1563,4H,198.17
6X1563,JFK,CDG,6X1563,4H,210.47
6X1563,JFK,CDG,6X1563,4H,217.13
6X1563,JFK,CDG,6X1563,4H,213.80
6X1563,JFK,CDG,6X1563,4H,222.20
6X1563,JFK,CDG,6X1563,4H,225.10
6X1563,JFK,CDG,6X1563,4H,205.74
6X1563,JFK,CDG,6X1563,4H,222.93
6X1563,JFK,CDG,6X1563,4H,206.71
6X1563,JFK,CDG,6X1563,4H,218.25
6X1563,JFK,CDG,6X1563,4H,211.12
6X1563,JFK,CDG,6X1563,4H,220.86
6X1563,JFK,CDG,6X1563,4H,216.31
6X1563,JFK,CDG,6X1563,4H,221.80
6X1563,JFK,CDG,6X1563,4H,223.94
6X1563,JFK,CDG,6X1563,4H,203.56
6X1563,JFK,CDG,6X1563,4H,227.45
6X1563,JFK,CDG,6X1563,4H,204.14
6X1563,JFK,CDG,6X1563,4H,207.49
6X1563,JFK,CDG,6X1563,4H,200.82
6X1563,JFK,CDG,6X1563,4H,201.24
6X1563,JFK,CDG,6X1563,4H,221.88
6X1563,JFK,CDG,6X1563,4H,200.85
6X1563,JFK,CDG,6X1563,4H,214.69
6X1563,JFK,CDG,6X1563,4H,216.83
6X1563,JFK,CDG,6X1563,4H,216.43
6X1563,JFK,CDG,6X1563,4H,197.56
6X1563,JFK,CDG,6X1563,4H,222.75
6X1563,JFK,CDG,6X1563,4H,216.29
6X1563,JFK,CDG,6X1563,4H,204.13
6X1563,JFK,CDG,6X1563,4H,225.77
6X1563,JFK,CDG,6X1563,4H,219.91
